pid,pod.id,dry.date,poll.status,length.dry,tot.num.seeds,num.m.seeds,notes
6,01,col.date,unmarked,56.11,66,66,wet
8,01,coll.date,unmarked,48.1,38,35,
8,02,coll.date,deformed,54.45,53,53,
8,03,coll.date,pollinated,42.78,25,15,
8,04,coll.date,unmarked,37.17,4,4,
10,16,col.date,unmarked,56.8,41,41,
14,03,09/22/2021,deformed,,38,38,
14,12,col.date,unmarked,54.27,60,60,
14,13,col.date,unmarked,55.65,65,65,
18,02,09/22/2021,unmarked,43.76,58,58,wet and moldy
18,01,col.date,deformed,45.69,40,29,5 sprouted 9/24
22,02,09/22/2021,unmarked,45.65,53,53,
22,03,col.date,unmarked,51.16,30,30,
22,04,col.date,deformed,67.1,53,53,wet
24,03,09/22/2021,unmarked,47.76,45,45,wet
24,04,col.date,deformed,53.99,60,60,wet
24,05,col.date,unmarked,48.16,58,58,wet
26,01,col.date,deformed,49.78,72,68,4 sprouted 9/22
32,01,col.date,deformed,25.04,2,2,
34,01,col.date,pollinated,37.79,32,32,
34,02,col.date,unmarked,44.52,39,39,
34,03,col.date,bee,33.23,7,7,
34,04,col.date,pollinated,39.91,39,39,
34,05,col.date,pollinated,43.68,39,39,
34,06,col.date,unmarked,51.89,39,39,
34,07,col.date,unmarked,31.25,22,22,
34,08,col.date,unmarked,43.66,45,45,
38,15,col.date,unmarked,40.84,25,25,some fell out
38,16,col.date,deformed,49,73,73,wet
40,01,col.date,deformed,42.34,35,35,
40,02,col.date,deformed,35.26,19,14,
44,01,col.date,unmarked,44.35,43,43,
44,02,col.date,unmarked,42.13,43,43,some from bag
46,17,,deformed,41.93,45,45,
46,18,,deformed,41.51,69,65,
48,01,col.date,deformed,45.35,34,34,
48,02,col.date,unmarked,44.85,32,32,
48,03,col.date,unmarked,53.01,58,58,seeds from bag
50,02,col.date,deformed,40.12,40,18,
50,03,col.date,unmarked,36.73,26,11,some fell out
50,04,col.date,deformed,30.87,27,16,
50,05,col.date,unmarked,37.53,34,34,
52,01,coll.date,unmarked,46.92,76,76,
52,02,coll.date,unmarked,41.96,16,16,
56,22,10/06/2021,unmarked,57.3,98,98,
56,28,10/06/2021,unmarked,65.58,95,95,
56,32,coll.date,deformed,,70,70,wet
56,01,coll.date,unmarked,61.36,71,71,
56,02,coll.date,unmarked,52.23,46,46,
56,03,coll.date,unmarked,40.83,13,13,
56,04,coll.date,pollinated,60.93,50,50,
56,05,coll.date,unmarked,59.92,55,55,
56,06,coll.date,unmarked,46.48,56,56,
56,07,coll.date,unmarked,38.14,11,11,
58,01,coll.date,deformed,36.26,29,29,seeds black 
58,02,coll.date,bee ,33.57,20,20,
58,03,coll.date,pollinated,37.15,36,36,
58,04,coll.date,pollinated,34.35,18,18,
58,05,coll.date,pollinated,37.56,10,10,
58,06,coll.date,pollinated,31.22,8,8,
60,01,coll.date,unmarked,47.53,28,28,wet
60,02,coll.date,unmarked,53.27,39,39,wet
60,03,coll.date,unmarked,44.03,23,23,wet
60,04,coll.date,unmarked,55.91,52,52,wet
60,05,coll.date,unmarked,66.08,60,60,wet
60,06,coll.date,unmarked,58.43,33,33,wet
62,01,coll.date,unmarked,50.12,59,59,*missing 6 more pods
62,02,coll.date,unmarked,50.08,60,60,*missing 6 more pods
62,03,coll.date,pollinated,49.5,45,45,*missing 6 more pods
62,04,coll.date,unmarked,48.04,29,29,*missing 6 more pods
64,01,coll.date,pollinated,58.3,70,70,
64,02,coll.date,pollinated,60.33,52,52,
64,03,coll.date,pollinated,48.88,48,48,
64,04,coll.date,unmarked,47.2,45,45,
64,05,coll.date,unmarked,57.27,58,58,
64,06,coll.date,pollinated,62.48,53,53,
64,07,coll.date,unmarked,48.95,49,49,
64,08,coll.date,pollinated,44.55,39,39,
64,09,coll.date,pollinated,45.94,42,42,
64,10,coll.date,unmarked,43.46,38,38,
66,01,col.date,pollinated,53.08,53,53,
66,02,col.date,pollinated,54.4,52,52,wet
66,03,col.date,unmarked,50.11,54,54,
66,04,col.date,unmarked,44.18,42,42,wet
68,01,col.date,pollinated,53.66,63,63,
68,02,col.date,pollinated,57.49,60,60,
68,03,col.date,pollinated,61.69,61,61,
68,04,col.date,pollinated,54.41,38,38,
68,05,col.date,pollinated,61.14,53,53,
68,06,col.date,unmarked,57.39,61,61,
68,07,col.date,deformed,53.94,53,53,
68,08,col.date,unmarked,55.29,47,47,
68,09,col.date,unmarked,49.75,61,61,
68,10,col.date,pollinated,53.07,57,57,
72,06,coll.date,unmarked,52.36,77,77,
72,07,coll.date,deformed,40.79,38,38,
74,01,coll.date,unmarked,53.43,60,60,worms
74,02,coll.date,unmarked,50.55,40,40,worms
74,03,coll.date,unmarked,58.5,42,42,wet
74,04,coll.date,unmarked,58.87,72,72,wet
74,05,coll.date,unmarked,59.1,66,66,wet
74,06,coll.date,unmarked,54.02,64,64,wet/worms
74,07,coll.date,unmarked,46.66,46,46,wet/worms
74,08,coll.date,unmarked,52.79,55,55,wet/worms
74,09,coll.date,unmarked,55.62,63,63,wet/worms
74,08,10/01/2021,unmarked,47.76,45,45,
76,01,col.date,unmarked,50.74,31,31,
76,02,col.date,unmarked,49.18,9,9,
76,03,col.date,unmarked,38.95,14,14,
76,04,col.date,unmarked,50.42,16,16,
80,01,col.date,unmarked,33.95,11,11,
80,02,col.date,pollinated,46.28,44,44,
80,03,col.date,unmarked,31.2,12,12,
82,01,col.date,deformed,59.66,71,71,wet
82,02,col.date,deformed,56.22,67,59,wet; 8 sprouted 9/29
82,03,col.date,deformed,56.45,68,67,wet; 1 sprouted 9/29
82,04,col.date,unmarked,62.03,61,60,wet
82,05,col.date,unmarked,62.25,53,52,wet
82,06,col.date,unmarked,64.9,73,61,wet; 12 sprouted 9/29
82,07,col.date,unmarked,47.04,23,15,wet
82,08,col.date,unmarked,40.41,19,18,wet
86,01,coll.date,unmarked,48.09,53,53,
86,02,coll.date,deformed,63.5,81,81,
86,03,coll.date,unmarked,43.08,41,41,
86,04,coll.date,unmarked,44.38,22,22,
86,05,coll.date,deformed,39.49,39,39,
88,01,coll.date,unmarked,38.06,36,36,
88,02,coll.date,unmarked,40.53,23,23,
88,03,coll.date,deformed,37.24,18,18,
88,04,coll.date,unmarked,45.69,28,28,
88,05,coll.date,unmarked,40.09,32,32,
88,06,coll.date,unmarked,52.38,114,114,
88,06,coll.date,unmarked,49.2,54,48,
88,07,coll.date,deformed,42.79,30,24,
88,08,coll.date,deformed,41.37,25,25,
88,09,coll.date,unmarked,49.03,30,30,
90,01,coll.date,unmarked,49.21,68,68,
90,02,coll.date,unmarked,52.67,72,72,
90,04,10/01/2021,pollinated,45.28,66,66,
92,01,coll.date,unmarked,53.05,49,49,wet
92,02,coll.date,unmarked,58.17,72,72,wet
92,03,coll.date,unmarked,59.48,72,72,wet
92,04,coll.date,unmarked,57.38,57,57,wet
94,01,coll.date,unmarked,61.96,65,65,
94,02,coll.date,unmarked,48.33,58,58,
94,03,coll.date,unmarked,59.98,81,81,
94,04,coll.date,unmarked,53.22,60,60,
94,06,10/15/2021,deformed,60.55,65,65,
96,06,coll.date,pollinated,57.97,61,61,wet
96,07,coll.date,unmarked,56.29,57,57,wet
96,08,coll.date,unmarked,62.22,58,58,wet
96,09,coll.date,unmarked,41.6,45,45,dry
96,10,coll.date,pollinated,54.96,58,58,dry
96,11,coll.date,pollinated,42.3,44,44,wet
96,12,coll.date,unmarked,59.74,72,72,wet
96,13,coll.date,unmarked,49.98,39,39,wet
96,14,coll.date,unmarked,51.53,42,42,wet
96,15,coll.date,pollinated,54.5,65,65,wet
96,01,coll.date,pollinated,60.61,65,65,
96,02,coll.date,pollinated,56.72,56,56,
96,03,coll.date,unmarked,58.41,65,65,mold
96,04,coll.date,pollinated,63.22,65,65,mold
96,05,coll.date,pollinated,64.33,61,61,
96,06,coll.date,pollinated,47.54,48,48,
96,07,coll.date,unmarked,59.1,70,70,mold
96,08,coll.date,pollinated,52.04,69,69,
96,09,coll.date,unmarked,58.04,62,62,
96,10,coll.date,pollinated,49.62,47,47,mold
98,01,coll.date,unmarked,39.7,31,31,
98,02,coll.date,unmarked,52.18,74,74,
98,03,coll.date,unmarked,44.27,56,56,
100,01,coll.date,bee,54.88,20,20,
100,02,coll.date,pollinated,57.61,50,50,
100,03,coll.date,pollinated,56.62,23,23,
100,04,coll.date,pollinated,64.34,78,78,
100,05,coll.date,unmarked,65.37,80,80,
100,06,coll.date,unmarked,49.7,72,72,
100,07,coll.date,unmarked,56.62,31,31,
100,08,coll.date,pollinated,73.95,70,70,
100,09,coll.date,unmarked,60.29,59,59,
100,10,coll.date,unmarked,63.26,59,59,
114,01,coll.date,unmarked,33.71,5,5,
114,02,coll.date,unmarked,35.22,12,10,2 sprouted 11/3
114,03,coll.date,unmarked,33.91,18,14,3 sprouted 11/3
132,01,coll.date,unmarked,50.09,65,40,
132,02,coll.date,unmarked,46.89,33,26,
132,03,coll.date,unmarked,45.33,30,29,
132,04,coll.date,pollinated,43.3,36,37,
132,05,coll.date,unmarked,52.68,38,38,wet
146,01,coll.date,unmarked,44.41,36,36,
146,02,coll.date,deformed,48.71,53,53,
146,03,coll.date,unmarked,45.14,78,78,
146,04,coll.date,deformed,41.57,59,59,
146,05,coll.date,deformed,35.57,30,30,
146,06,coll.date,deformed,35.02,25,25,
146,07,coll.date,unmarked,46.02,54,54,
162,01,coll.date,pollinated,42.29,39,39,
162,02,coll.date,pollinated,47.15,62,62,
162,03,coll.date,pollinated,46.32,50,50,
162,04,coll.date,unmarked,41.87,52,52,
162,05,coll.date,pollinated,45.57,60,60,
162,06,coll.date,pollinated,48.18,36,36,
162,07,coll.date,pollinated,49.42,54,54,
162,08,coll.date,bee,45.67,51,51,
162,09,coll.date,unmarked,42.04,54,54,
162,10,coll.date,unmarked,49.43,53,53,
178,09,09/22/2021,pollinated,45.01,40,40,wet
178,13,col.date,pollinated,38.99,35,35,
178,14,col.date,pollinated,39.32,19,19,
178,15,col.date,pollinated,37.91,33,33,
180,01,col.date,pollinated,44.07,57,44,"seed coats all coming off, 6 sprouted 9/24"
180,02,col.date,pollinated,50.29,59,41,
182,01,col.date,deformed,38.52,37,24,
182,02,col.date,pollinated,52.22,43,43,
182,03,col.date,pollinated,41.08,39,39,extra seeds in the bag
182,04,col.date,unmarked,52.96,65,59,wet
184,02,col.date,bees,37.93,31,31,
194,06,col.date,unmarked,46.52,44,44,
302,01,coll.date,deformed,31.75,26,26,
302,02,coll.date,unmarked,26.26,11,9,