pid,pod.id,poll.status,num.m.seeds,seed.color,date.counted
206,1,deformed,54,white,10/6/22
206,2,deformed,43,white,10/6/22
206,3,deformed,19,white,10/6/22
208,1,deformed,27,white,10/6/22
210,1,deformed,60,white,10/6/22
210,2,deformed,50,white,10/6/22
212,1,pollinated,53,black,10/6/22
212,2,pollinated,39,black,10/6/22
212,3,pollinated,29,black,10/6/22
214,1,pollinated,45,black,10/6/22
214,2,pollinated,30,black,10/6/22
218,1,pollinated,43,black,10/6/22
218,2,pollinated,24,black,10/6/22
218,3,pollinated,35,black,10/6/22
218,4,pollinated,37,black,10/6/22
218,5,pollinated,7,black,10/6/22
220,1,pollinated,49,black,10/6/22
220,2,pollinated,37,black,10/6/22
220,3,pollinated,43,black,10/6/22
220,4,pollinated,44,black,10/6/22
220,5,pollinated,34,black,10/6/22
220,6,pollinated,38,black,10/6/22
220,7,pollinated,54,black,10/6/22
222,1,pollinated,42,black,10/6/22
222,2,pollinated,34,black,10/6/22
222,3,pollinated,42,black,10/6/22
222,4,pollinated,13,black,10/6/22
222,5,pollinated,38,black,10/6/22
222,6,pollinated,52,black,10/6/22
222,7,pollinated,36,black,10/6/22
222,8,pollinated,45,black,10/6/22
224,1,pollinated,48,black,10/7/22
224,2,pollinated,41,black,10/7/22
224,3,pollinated,35,black,10/7/22
224,4,pollinated,7,black,10/7/22
224,5,pollinated,45,black,10/7/22
224,6,pollinated,31,black,10/7/22
224,7,pollinated,51,black,10/7/22
226,1,pollinated,53,black,10/6/22
226,2,pollinated,25,black,10/6/22
226,3,pollinated,38,black,10/6/22
228,1,deformed,65,white,10/6/22
228,2,deformed,63,white,10/6/22
232,1,pollinated,9,black,10/6/22
234,1,pollinated,53,black,10/7/22
234,2,pollinated,56,black,10/7/22
234,3,pollinated,52,black,10/7/22
234,4,pollinated,25,black,10/7/22
234,5,pollinated,25,black,10/7/22
238,1,deformed,73,white,10/7/22
238,2,deformed,77,white,10/7/22
238,3,deformed,73,white,10/7/22
240,1,pollinated,16,black,10/7/22
240,2,pollinated,43,black,10/7/22
240,3,pollinated,56,black,10/7/22
240,4,pollinated,53,black,10/7/22
240,5,pollinated,50,black,10/7/22
246,1,pollinated,43,white,10/7/22
254,1,pollinated,26,black,10/7/22
254,2,pollinated,58,black,10/7/22
254,3,pollinated,49,black,10/7/22
254,4,pollinated,35,black,10/7/22
254,5,pollinated,35,black,10/7/22
254,6,pollinated,53,black,10/7/22
256,1,pollinated,40,black,10/7/22
256,2,pollinated,5,black,10/7/22
256,3,pollinated,41,black,10/7/22
256,4,pollinated,57,black,10/7/22
256,5,pollinated,31,black,10/7/22
256,6,pollinated,42,black,10/7/22
260,1,pollinated,25,black,10/7/22
260,2,pollinated,51,black,10/7/22
260,3,pollinated,38,black,10/7/22
260,4,pollinated,38,black,10/7/22
260,5,pollinated,31,black,10/7/22
260,6,pollinated,38,black,10/7/22
260,7,pollinated,40,black,10/7/22
260,8,pollinated,48,black,10/7/22
270,1,deformed,50,white,10/7/22
270,2,deformed,63,white,10/7/22
270,3,deformed,73,white,10/7/22
270,4,deformed,66,white,10/7/22
270,5,deformed,56,white,10/7/22
274,1,deformed,31,white,10/6/22
274,2,deformed,28,white,10/6/22
276,1,deformed,72,white,10/6/22
276,2,deformed,60,white,10/6/22
280,1,deformed,42,white,10/6/22