date,pid,num.flowers,pollen.pid,Condition
7/17,218,3,216,
7/17,216,1,218,
7/17,212,1,260,
7/17,210,1,240,
7/17,224,1,210,
7/17,232,3,234,
7/17,234,1,250,
7/17,240,3,224,
7/17,260,2,212,
7/17,250,1,232,
7/17,246,1,232,
7/19,220,3,214,
7/19,214,1,220,
7/19,212,1,228,
7/19,208,1,224,D
7/19,222,3,260,
7/19,224,1,208,
7/19,228,1,212,D
7/19,230,1,246,
7/19,232,1,234,
7/19,234,3,232,
7/19,240,1,274,
7/19,260,1,254,
7/19,258,1,240,D
7/19,254,2,222,
7/19,252,1,230,D
7/19,246,1,252,D
7/19,274,1,258,D
7/21,220,3,278,
7/21,218,3,264,
7/21,210,1,240,D
7/21,222,1,238,
7/21,224,1,226,
7/21,226,2,224,
7/21,232,1,234,
7/21,234,1,232,
7/21,238,3,222,
7/21,240,2,256,
7/21,260,2,254,
7/21,256,2,240,
7/21,254,1,260,
7/21,264,1,218,D
7/21,266,2,280,D
7/21,278,1,220,D
7/21,280,1,266,D
7/23,220,2,236,
7/23,212,1,206,
7/23,208,1,240,D
7/23,206,1,212,D
7/23,202,1,234,D
7/23,222,2,260,
7/23,232,1,202,
7/23,234,1,232,
7/23,236,2,220,D
7/23,240,1,208,
7/23,260,2,222,
7/23,256,1,274,
7/23,254,2,276,
7/23,250,1,248,
7/23,248,1,250,
7/23,246,1,262,D
7/23,262,1,246,
7/23,274,1,256,D
7/23,276,2,254,D
7/26,220,5,214,
7/26,218,2,280,
7/26,217,9,225,
7/26,214,1,220,
7/26,212,1,206,
7/26,206,2,212,D
7/26,222,4,260,
7/26,224,2,226,
7/26,225,6,251,
7/26,226,1,224,
7/26,234,4,218,
7/26,240,2,256,
7/26,260,3,222,
7/26,256,3,240,
7/26,254,1,270,
7/26,252,2,246,
7/26,251,2,217,
7/26,246,1,252,
7/26,270,2,254,D
7/26,272,1,274,D
7/26,274,1,272,D
7/26,280,1,234,D
7/29,220,5,214,
7/29,218,2,232,
7/29,217,13,217,
7/29,215,6,215,
7/29,214,3,220,
7/29,212,1,228,
7/29,206,1,238,D
7/29,222,4,260,
7/29,224,2,226,
7/29,225,9,227,
7/29,226,1,224,
7/29,227,1,259,
7/29,228,2,212,D
7/29,229,1,251,
7/29,232,1,218,
7/29,238,3,206,D
7/29,240,3,256,
7/29,260,4,222,
7/29,259,1,227,
7/29,256,5,240,
7/29,254,2,270,
7/29,251,5,229,
7/29,244,1,276,D
7/29,269,1,220,D
7/29,270,5,254,D
7/29,276,2,244,D
7/31,220,1,214,
7/31,217,11,215,
7/31,215,8,217,
7/31,214,2,220,
7/31,212,3,222,
7/31,211,2,227,
7/31,208,1,240,D
7/31,222,3,260,
7/31,224,1,226,
7/31,226,3,224,
7/31,227,1,259,
7/31,229,4,257,
7/31,232,1,220,
7/31,240,2,208,
7/31,260,1,222,
7/31,259,3,211,
7/31,256,1,274,
7/31,254,3,244,
7/31,251,4,229,
7/31,247,1,265,
7/31,244,1,254,D
7/31,265,1,247,
7/31,274,1,256,D
8/2,218,1,240,
8/2,217,24,215,
8/2,215,5,217,
8/2,212,3,228,
8/2,211,5,259,
8/2,208,1,240,D
8/2,222,4,260,
8/2,224,4,256,
8/2,227,6,211,
8/2,228,2,212,D
8/2,229,8,251,
8/2,235,2,229,
8/2,240,2,208,
8/2,260,4,222,
8/2,259,5,227,
8/2,256,1,242,
8/2,254,3,244,
8/2,251,5,235,
8/2,247,5,265,
8/2,244,1,254,D
8/2,242,1,224,D
8/2,265,5,247,
8/4,220,1,266,
8/4,217,16,215,
8/4,215,11,217,
8/4,213,1,229,
8/4,212,2,238,
8/4,211,7,227,
8/4,209,1,211,
8/4,221,1,259,
8/4,222,2,260,
8/4,226,1,240,
8/4,227,6,211,
8/4,229,6,213,
8/4,232,1,220,
8/4,235,3,251,
8/4,238,2,212,D
8/4,240,1,226,
8/4,260,3,222,
8/4,259,6,221,
8/4,256,2,274,
8/4,254,3,270,
8/4,251,4,235,
8/4,247,9,265,
8/4,265,7,247,
8/4,266,1,232,D
8/4,270,2,254,D
8/4,274,1,256,D
8/6,217,18,215,
8/6,215,12,217,
8/6,213,5,229,
8/6,212,1,254,
8/6,211,8,227,
8/6,209,4,255,
8/6,221,13,259,
8/6,222,2,260,
8/6,224,3,272,
8/6,227,12,211,
8/6,229,11,213,
8/6,235,3,251,
8/6,239,1,209,
8/6,260,3,222,
8/6,259,9,221,
8/6,255,1,239,
8/6,254,2,212,
8/6,251,7,235,
8/6,249,1,265,
8/6,247,1,249,D
8/6,244,2,276,D
8/6,265,11,247,
8/6,272,1,224,D
8/6,276,2,244,D
8/8,219,5,251,
8/8,218,1,232,
8/8,217,11,265,
8/8,215,14,201,
8/8,213,8,235,
8/8,212,4,228,
8/8,211,12,205,
8/8,210,2,226,D
8/8,209,5,255,
8/8,208,1,240,D
8/8,205,2,211,
8/8,201,5,215,
8/8,221,9,259,
8/8,222,2,254,
8/8,224,3,256,
8/8,226,1,210,D
8/8,227,11,221,
8/8,228,2,212,D
8/8,232,1,266,
8/8,235,11,213,
8/8,240,1,208,
8/8,259,16,227,
8/8,256,1,224,
8/8,255,6,209,
8/8,254,8,222,
8/8,251,11,261,
8/8,249,11,247,
8/8,247,15,249,
8/8,261,1,219,
8/8,265,13,217,
8/8,266,1,218,D
8/10,217,3,215,
8/10,216,1,248,D
8/10,215,21,217,
8/10,213,9,229,
8/10,211,11,227,
8/10,209,7,205,
8/10,205,5,209,
8/10,203,4,235,
8/10,201,9,265,
8/10,221,13,259,
8/10,222,1,260,
8/10,224,1,226,
8/10,226,1,224,
8/10,227,13,211,
8/10,229,20,213,
8/10,231,7,233,
8/10,233,1,231,
8/10,235,8,203,
8/10,260,1,222,
8/10,259,2,221,D
8/10,254,1,270,
8/10,251,3,261,
8/10,249,7,247,
8/10,248,1,216,D
8/10,247,17,249,
8/10,243,7,269,
8/10,261,6,251,
8/10,265,14,202,
8/10,269,2,243,
8/10,270,1,276,D
8/10,272,2,226,D
8/10,276,2,254,
8/12,219,23,261,
8/12,217,2,215,
8/12,215,23,217,
8/12,213,21,229,
8/12,203,23,235,
8/12,201,18,231,
8/12,229,15,213,
8/12,231,13,233,
8/12,233,5,231,
8/12,235,16,203,
8/12,251,7,245,
8/12,249,12,247,
8/12,247,8,249,
8/12,245,3,251,
8/12,261,11,219,
8/12,263,8,265,
8/12,265,15,263,
8/14,218,1,232,
8/14,214,2,218,
8/14,212,4,254,
8/14,211,21,205,
8/14,209,12,239,
8/14,205,21,211,
8/14,221,21,227,
8/14,223,5,227,
8/14,226,2,258,
8/14,227,14,221,
8/14,232,2,218,
8/14,239,7,209,
8/14,259,20,253,
8/14,258,1,226,
8/14,256,2,272,
8/14,255,19,273,
8/14,254,5,212,
8/14,253,5,269,
8/14,243,7,275,
8/14,242,1,256,D
8/14,269,9,253,
8/14,272,1,256,D
8/14,273,8,255,
8/14,275,12,243,
8/17,219,32,261,
8/17,218,1,232,
8/17,215,15,231,
8/17,214,1,252,
8/17,213,30,229,
8/17,212,2,228,
8/17,211,18,205,
8/17,210,2,208,D
8/17,209,5,239,
8/17,208,1,210,D
8/17,205,27,211,
8/17,203,41,235,
8/17,201,25,233,
8/17,221,14,227,
8/17,223,11,255,
8/17,226,1,256,
8/17,227,7,221,
8/17,228,2,212,D
8/17,229,17,213,
8/17,231,18,215,
8/17,232,2,280,
8/17,233,17,201,
8/17,235,13,203,
8/17,239,22,209,
8/17,259,11,253,
8/17,256,1,272,
8/17,255,21,223,
8/17,254,2,244,
8/17,253,14,259,
8/17,252,1,214,D
8/17,251,5,267,
8/17,249,28,279,
8/17,247,11,249,
8/17,245,16,251,
8/17,244,2,254,D
8/17,243,24,275,
8/17,261,24,219,
8/17,263,11,265,
8/17,265,15,263,
8/17,267,1,245,
8/17,269,6,243,
8/17,272,2,226,D
8/17,273,24,239,
8/17,275,27,269,
8/17,279,14,247,
8/17,280,1,218,D
8/21,219,13,213,
8/21,215,5,231,
8/21,213,12,229,
8/21,211,10,205,
8/21,209,2,239,
8/21,208,1,258,D
8/21,205,13,211,
8/21,204,1,202,D
8/21,203,16,235,
8/21,202,1,232,D
8/21,201,15,233,
8/21,221,5,227,
8/21,223,6,209,
8/21,227,2,221,
8/21,229,5,213,
8/21,231,9,215,
8/21,232,4,202,
8/21,233,9,201,
8/21,235,12,203,
8/21,239,19,223,
8/21,259,1,253,
8/21,258,1,208,D
8/21,255,13,273,
8/21,253,8,259,
8/21,251,1,267,
8/21,249,32,247,
8/21,247,3,279,
8/21,245,12,277,
8/21,243,16,269,
8/21,261,12,267,
8/21,263,7,265,
8/21,265,6,263,
8/21,267,8,251,
8/21,269,5,275,
8/21,273,23,255,
8/21,275,23,269,
8/21,279,11,249,
8/23,219,16,261,
8/23,213,13,229,
8/23,211,6,227,
8/23,205,36,237,
8/23,203,10,235,
8/23,201,14,279,
8/23,221,8,253,
8/23,223,11,225,
8/23,225,1,223,
8/23,229,1,213,
8/23,231,8,233,
8/23,233,6,231,
8/23,235,15,203,
8/23,237,20,205,
8/23,239,18,255,
8/23,255,1,273,
8/23,253,15,221,
8/23,249,15,247,
8/23,245,9,267,
8/23,243,12,275,
8/23,261,7,219,
8/23,263,7,265,
8/23,267,8,245,
8/23,269,1,243,
8/23,273,13,239,
8/23,275,14,269,
8/23,279,9,201,
8/25,219,9,213,
8/25,214,1,204,
8/25,213,6,219,
8/25,211,1,221,
8/25,208,2,226,D
8/25,205,8,237,
8/25,204,1,236,D
8/25,203,6,235,
8/25,202,1,250,D
8/25,201,8,231,
8/25,221,3,211,
8/25,223,13,225,
8/25,224,1,208,
8/25,226,1,224,
8/25,231,4,233,
8/25,232,3,202,
8/25,233,6,201,
8/25,235,16,203,
8/25,236,1,214,D
8/25,237,24,205,
8/25,239,11,223,
8/25,255,3,273,
8/25,253,8,269,
8/25,250,1,232,D
8/25,249,7,263,
8/25,245,4,261,
8/25,243,6,275,
8/25,261,9,267,
8/25,263,6,249,
8/25,267,9,245,
8/25,269,5,253,
8/25,273,6,255,
8/25,275,5,243,
8/28,219,13,213,
8/28,213,10,219,
8/28,205,3,221,
8/28,203,3,235,
8/28,201,2,231,
8/28,221,1,237,
8/28,223,28,225,
8/28,224,1,242,
8/28,225,12,223,
8/28,231,3,233,
8/28,233,3,201,
8/28,235,14,203,
8/28,236,1,250,D
8/28,237,32,205,
8/28,239,3,273,
8/28,253,6,269,
8/28,250,1,236,D
8/28,249,1,263,
8/28,245,5,279,
8/28,243,5,275,
8/28,242,1,224,D
8/28,261,6,267,
8/28,263,8,249,
8/28,267,16,261,
8/28,269,13,253,
8/28,273,6,237,
8/28,275,7,243,
8/28,277,6,245,
9/1,219,1,213,
9/1,214,2,204,
9/1,213,6,219,
9/1,204,2,214,D
9/1,223,15,225,
9/1,225,25,223,
9/1,231,1,263,
9/1,235,15,245,
9/1,237,18,253,
9/1,257,13,273,
9/1,253,5,269,
9/1,252,2,242,D
9/1,250,3,264,D
9/1,245,3,235,
9/1,242,2,252,D
9/1,261,4,267,
9/1,263,5,231,
9/1,264,1,250,D
9/1,267,15,277,
9/1,269,13,237,
9/1,273,1,257,
9/1,277,8,261,
9/4,218,5,250,
9/4,214,4,236,
9/4,208,1,280,D
9/4,204,3,214,D
9/4,223,1,225,
9/4,225,32,223,
9/4,235,4,277,
9/4,238,1,260,D
9/4,260,1,238,
9/4,257,19,263,
9/4,252,3,268,D
9/4,250,1,218,D
9/4,263,2,257,
9/4,267,14,235,
9/4,268,1,252,D
9/4,277,5,267,
9/4,280,1,250,D
9/6,220,1,252,
9/6,216,2,232,
9/6,213,3,235,
9/6,207,6,257,
9/6,204,2,236,D
9/6,225,12,207,
9/6,232,1,216,
9/6,235,1,213,
9/6,236,2,204,D
9/6,238,1,260,D
9/6,260,1,238,
9/6,257,7,225,
9/6,252,2,220,D
9/6,251,2,267,
9/6,245,1,277,
9/6,242,2,272,D
9/6,263,2,269,
9/6,267,1,251,
9/6,269,12,263,
9/6,272,2,242,D
9/8,220,1,214,
9/8,214,3,220,
9/8,213,2,267,
9/8,207,7,225,
9/8,225,11,207,
9/8,260,3,264,
9/8,257,9,225,
9/8,252,2,268,D
9/8,251,7,213,
9/8,248,1,264,D
9/8,245,2,277,
9/8,264,1,248,D
9/8,267,1,251,
9/8,268,2,278,D
9/8,269,1,257,
9/8,277,2,245,
9/8,278,1,252,D
9/10,218,1,248,
9/10,213,2,251,
9/10,205,9,269,
9/10,204,1,278,D
9/10,225,13,257,
9/10,238,3,260,D
9/10,260,2,238,
9/10,258,1,256,D
9/10,257,8,225,
9/10,256,2,258,
9/10,251,6,213,
9/10,250,1,218,D
9/10,248,3,250,D
9/10,245,7,277,
9/10,269,4,205,
9/10,277,6,245,
9/10,278,1,204,D
9/13,220,6,268,
9/13,218,2,234,
9/13,216,1,234,D
9/13,214,2,204,
9/13,213,10,251,
9/13,209,3,207,
9/13,208,2,240,D
9/13,207,22,209,
9/13,204,2,214,D
9/13,222,3,260,
9/13,225,7,241,
9/13,228,1,222,D
9/13,233,8,279,
9/13,234,4,216,
9/13,238,2,244,D
9/13,240,2,208,
9/13,260,7,222,
9/13,258,1,256,D
9/13,257,5,225,
9/13,256,1,258,
9/13,252,1,268,D
9/13,251,17,213,
9/13,250,3,280,D
9/13,245,4,277,
9/13,244,2,238,D
9/13,241,4,257,
9/13,263,1,233,
9/13,268,1,278,D
9/13,269,1,269,
9/13,277,4,245,
9/13,278,2,258,D
9/13,279,3,263,
9/13,280,2,250,D
9/15,220,5,204,
9/15,218,3,234,
9/15,213,11,235,
9/15,209,3,207,
9/15,207,10,209,
9/15,204,2,278,D
9/15,222,4,260,
9/15,226,2,240,
9/15,227,6,227,
9/15,233,8,279,
9/15,234,4,211,
9/15,235,1,213,
9/15,238,3,276,D
9/15,240,6,256,
9/15,260,6,222,
9/15,257,5,241,
9/15,256,1,226,
9/15,251,10,277,
9/15,248,1,280,D
9/15,245,6,251,
9/15,241,16,257,
9/15,276,2,238,D
9/15,277,5,245,
9/15,278,1,220,D
9/15,279,7,263,
9/18,220,7,214,
9/18,218,1,266,
9/18,217,3,233,
9/18,214,1,278,
9/18,213,11,251,
9/18,209,7,257,
9/18,222,1,260,
9/18,227,20,209,
9/18,229,3,235,
9/18,233,10,217,
9/18,234,4,218,
9/18,238,3,240,D
9/18,240,8,238,
9/18,260,3,222,
9/18,257,1,209,
9/18,251,17,213,
9/18,247,3,279,
9/18,245,5,277,
9/18,241,13,271,
9/18,266,1,234,D
9/18,271,8,241,
9/18,277,2,245,
9/18,278,1,220,D
9/18,279,1,247,
9/22,220,5,214,
9/22,218,3,220,
9/22,217,29,215,
9/22,215,8,217,
9/22,214,1,220,
9/22,213,10,229,
9/22,209,16,207,
9/22,207,2,209,
9/22,222,4,238,
9/22,227,21,259,
9/22,229,24,213,
9/22,231,4,233,
9/22,233,9,231,
9/22,236,1,252,D
9/22,238,1,260,D
9/22,240,2,274,
9/22,260,9,222,
9/22,259,12,227,
9/22,255,7,271,
9/22,252,1,236,D
9/22,251,15,261,
9/22,247,2,263,
9/22,245,4,251,
9/22,241,9,255,
9/22,261,11,245,
9/22,263,3,279,
9/22,271,25,241,
9/22,274,2,240,D
9/22,279,14,247,
9/27,220,4,236,
9/27,217,51,215,
9/27,215,19,217,
9/27,213,15,203,
9/27,211,32,227,
9/27,209,9,207,
9/27,208,1,240,D
9/27,207,8,209,
9/27,203,9,213,
9/27,221,30,209,
9/27,222,5,260,
9/27,227,20,211,
9/27,229,37,261,
9/27,231,10,233,
9/27,233,4,231,
9/27,234,2,250,D
9/27,236,1,220,D
9/27,240,3,274,
9/27,260,4,222,
9/27,259,37,221,
9/27,255,31,271,
9/27,250,1,234,D
9/27,247,4,279,
9/27,245,1,278,D
9/27,243,16,275,
9/27,241,14,273,
9/27,261,31,229,
9/27,263,9,265,
9/27,265,15,263,
9/27,268,1,246,D
9/27,271,17,255,
9/27,273,8,241,
9/27,274,1,208,D
9/27,275,5,243,
9/27,276,1,222,D
9/27,278,1,268,D
9/27,279,14,247,
9/29,218,1,234,
9/29,222,6,260,
9/29,224,2,240,
9/29,234,2,218,
9/29,240,1,224,
9/29,260,1,222,
9/29,256,3,274,
9/29,274,2,256,D