pid,type,treatment,row ,column,block,edge,cid,
1,TB,WAND,1,A,I,yes,001,
304,DC,CON,2,A,I,yes,,
3,TB,WE,3,A,I,yes,002,
184,DC,WOWE,4,A,I,yes,009,
5,TB,WOWE,5,A,I,yes,003,
6,DC,WE,6,A,I,yes,010,
7,TB,CON,7,A,I,yes,,
8,DC,WAND,8,A,I,yes,011,133
9,TB,WAND,9,A,I,yes,013,091
10,DC,CON,1,B,I,yes,,
11,TB,WAND,2,B,I,no,005,
178,DC,WE,3,B,I,no,012,
13,TB,CON,4,B,I,no,,
14,DC,WOWE,5,B,I,no,014,
15,TB,WE,6,B,I,no,006,
180,DC,WAND,7,B,I,no,019,
17,TB,WOWE,8,B,I,no,007,024
18,DC,CON,9,B,I,yes,,
196,DC,WE,2,C,I,no,020,
21,TB,CON,3,C,I,no,,
22,DC,WOWE,4,C,I,no,021,
23,TB,WAND,5,C,I,no,015,209
24,DC,CON,6,C,I,no,,
25,TB,WOWE,7,C,I,no,016,025
26,DC,WE,8,C,I,no,022,
27,TB,WE,9,C,I,yes,017,
19,TB,WE,1,C ,I,yes,008,
194,DC,WOWE,1,D,I,yes,033,
29,TB,WOWE,2,D,I,no,018,
30,DC,WAND,3,D,I,no,053,
31,TB,WE,4,D,I,no,023,
32,DC,CON,5,D,I,no,,
33,TB,CON,6,D,I,no,,
34,DC,WE,7,D,I,no,054,
35,TB,WAND,8,D,I,no,026,
36,DC,WOWE,9,D,I,yes,055,
37,TB,WOWE,1,E,I,yes,027,
38,DC,CON,2,E,I,no,,
39,TB,WAND,3,E,I,no,028,
40,DC,WE,4,E,I,no,056,
41,TB,WE,5,E,I,no,029,
42,DC,WOWE,6,E,I,no,068,220
43,TB,CON,7,E,I,no,,
44,DC,WAND,8,E,I,no,069,
45,TB,WOWE,9,E,I,yes,030,
46,DC,WE,1,F,I,yes,070,
47,TB,CON,2,F,I,no,,
48,DC,WOWE,3,F,I,no,071,
171,TB,WAND,4,F,I,no,031,
50,DC,CON,5,F,I,no,,
51,TB,WOWE,6,F,I,no,032,
52,DC,WAND,7,F,I,no,072,
53,TB,WE,8,F,I,no,034,
182,DC,WE,9,F,I,yes,073,
55,TB,CON,1,G,I,yes,,
56,DC,WAND,2,G,I,no,074,
57,TB,WE,3,G,I,no,035,136
58,DC,WOWE,4,G,I,no,075,221
59,TB,WOWE,5,G,I,no,036,
60,DC,CON,6,G,I,no,,
61,TB,WAND,7,G,I,no,037,
62,DC,WE,8,G,I,no,076,
63,TB,CON,9,G,I,yes,,
64,DC,WAND,1,H,I,yes,092,
65,TB,WOWE,2,H,I,no,038,
66,DC,CON,3,H,I,no,,
67,TB,WE,4,H,I,no,039,
68,DC,WE,5,H,I,no,093,
69,TB,WAND,6,H,I,no,040,
302,DC,WOWE,7,H,I,no,094,
71,TB,CON,8,H,I,no,,
72,DC,WAND,9,H,I,yes,095,
73,TB,WAND,1,I,II,yes,041,
74,DC,CON,2,I,II,no,,
75,TB,WE,3,I,II,no,042,
76,DC,WOWE,4,I,II,no,096,
77,TB,WOWE,5,I,II,no,043,
78,DC,WE,6,I,II,no,097,
79,TB,CON,7,I,II,no,,
80,DC,WAND,8,I,II,no,098,
81,TB,WAND,9,I,II,yes,044,
82,DC,CON,1,J,II,yes,,
83,TB,WAND,2,J,II,no,045,
190,DC,WE,3,J,II,no,099,
85,TB,CON,4,J,II,no,,
86,DC,WOWE,5,J,II,no,100,
87,TB,WE,6,J,II,no,046,137
88,DC,WAND,7,J,II,no,101,
89,TB,WOWE,8,J,II,no,047,
90,DC,CON,9,J,II,yes,,
91,TB,WE,1,K,II,yes,048,
92,DC,WE,2,K,II,no,102,
93,TB,CON,3,K,II,no,,
94,DC,WOWE,4,K,II,no,103,
95,TB,WAND,5,K,II,no,049,
96,DC,CON,6,K,II,no,,
97,TB,WOWE,7,K,II,no,050,
98,DC,WE,8,K,II,no,104,134
99,TB,WE,9,K,II,yes,051,
100,DC,WOWE,1,L,II,yes,105,
101,TB,WOWE,2,L,II,no,052,
102,DC,WAND,3,L,II,no,106,
103,TB,WE,4,L,II,no,058,140
192,DC,CON,5,L,II,no,,
105,TB,CON,6,L,II,no,,
106,DC,WE,7,L,II,no,107,
107,TB,WAND,8,L,II,no,059,
108,DC,WOWE,9,L,II,yes,108,219
109,TB,WOWE,1,M,II,yes,060,
110,DC,CON,2,M,II,no,,
111,TB,WAND,3,M,II,no,061,
112,DC,WE,4,M,II,no,109,
113,TB,WE,5,M,II,no,062,138
114,DC,WOWE,6,M,II,no,110,
115,TB,CON,7,M,II,no,,
116,DC,WAND,8,M,II,no,111,
117,TB,WOWE,9,M,II,yes,063,
118,DC,WE,1,N,II,yes,112,
119,TB,CON,2,N,II,no,,
120,DC,WOWE,3,N,II,no,113,
121,TB,WAND,4,N,II,no,064,
122,DC,CON,5,N,II,no,,
123,TB,WOWE,6,N,II,no,065,
124,DC,WAND,7,N,II,no,114,
125,TB,WE,8,N,II,no,066,
126,DC,WE,9,N,II,yes,115,
127,TB,CON,1,O,II,yes,,
128,DC,WAND,2,O,II,no,116,
129,TB,WE,3,O,II,no,067,
130,DC,WOWE,4,O,II,no,117,
131,TB,WOWE,5,O,II,no,077,
132,DC,CON,6,O,II,no,,
133,TB,WAND,7,O,II,no,078,
134,DC,WE,8,O,II,no,118,
135,TB,CON,9,O,II,yes,,
136,DC,WAND,1,P,II,yes,119,
137,TB,WOWE,2,P,II,no,079,
138,DC,CON,3,P,II,no,,
139,TB,WE,4,P,II,no,080,
140,DC,WE,5,P,II,no,120,
141,TB,WAND,6,P,II,no,081,
142,DC,WOWE,7,P,II,no,121,
143,TB,CON,8,P,II,no,,
144,DC,WAND,9,P,II,yes,122,
145,TB,WAND,1,Q,III,yes,082,
146,DC,CON,2,Q,III,no,,
147,TB,WE,3,Q,III,no,083,
148,DC,WOWE,4,Q,III,no,123,
149,TB,WOWE,5,Q,III,no,084,
150,DC,WE,6,Q,III,no,124,
151,TB,CON,7,Q,III,no,,
152,DC,WAND,8,Q,III,yes,125,
153,TB,CON,1,R,III,yes,,
154,DC,WAND,2,R,III,no,126,
155,TB,WE,3,R,III,no,085,
156,DC,CON,4,R,III,no,,
157,TB,WOWE,5,R,III,no,086,
158,DC,WE,6,R,III,no,127,
159,TB,WAND,7,R,III,no,087,
160,DC,WOWE,8,R,III,yes,128,
161,TB,WE,1,S,III,yes,088,
162,DC,WE,2,S,III,no,129,
163,TB,CON,3,S,III,no,,
164,DC,WOWE,4,S,III,no,131,
165,TB,WAND,5,S,III,no,089,
166,DC,CON,6,S,III,no,,
167,TB,WOWE,7,S,III,no,090,
168,DC,WE,8,S,III,yes,132,